2026-07-05 14:52:47 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 14:52:57 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 14:53:36 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 14:53:36 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 14:53:48 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 14:54:04 | WARNING | trading_bot | No se pudo crear salida inmediata para SOLUSD: 403 Client Error: Forbidden for url: https://paper-api.alpaca.markets/v2/orders
2026-07-05 14:54:26 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 14:54:27 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 14:54:39 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 14:55:17 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 14:55:18 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 14:55:30 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 14:56:06 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 14:56:08 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 14:56:21 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 14:56:56 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 14:56:59 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 14:57:12 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 14:57:46 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 14:57:50 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 14:58:01 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 14:58:39 | WARNING | trading_bot | Alpaca devolvio barras vacias para AAPL (1m)
2026-07-05 14:58:39 | WARNING | trading_bot | Alpaca devolvio barras vacias para AAPL (5m)
2026-07-05 14:58:39 | WARNING | trading_bot | Alpaca devolvio barras vacias para AAPL (15m)
2026-07-05 14:59:29 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 14:59:29 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 14:59:29 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 14:59:41 | WARNING | trading_bot | No se pudo reconciliar salida limit faltante para SOLUSD: 403 Client Error: Forbidden for url: https://paper-api.alpaca.markets/v2/orders
2026-07-05 14:59:41 | WARNING | trading_bot | No se pudo reconciliar salida limit faltante para SOLUSD: 403 Client Error: Forbidden for url: https://paper-api.alpaca.markets/v2/orders
2026-07-05 14:59:42 | WARNING | trading_bot | No se pudo crear salida inmediata para SOLUSD: 403 Client Error: Forbidden for url: https://paper-api.alpaca.markets/v2/orders
2026-07-05 15:00:19 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 15:00:19 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 15:00:20 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 15:01:09 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 15:01:09 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 15:01:10 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 15:01:59 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 15:01:59 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 15:01:59 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 15:02:49 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 15:02:49 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 15:02:49 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 15:03:39 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 15:03:39 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 15:03:39 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 15:04:29 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 15:04:29 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 15:04:29 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 15:05:19 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
